"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId","concurrency"
"2025-12-02 21:21:53",1764710513296,"train-data-three.vercel.app/api/failed-generations","GET","page=1&limit=25",200,"96q4f-1764710513198-4a7d677ef6e0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","main","","lambda","/api/failed-generations","train-data-three.vercel.app","train-data-three.vercel.app","dpl_GuaqXsVpzwT677AvAAS3KFttDXSd",183,"iad1",133,2048,"","prj_UfszjwayvL7tjgoovVcF0mC2178i","","","01KBGF2YMG7AK9QTSS7VA98GX9","6oRf7mY3Ex7H",1
"2025-12-02 21:21:53",1764710513257,"train-data-three.vercel.app/api/failed-generations","GET","page=1&limit=25",-1,"96q4f-1764710513198-4a7d677ef6e0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","main","","edge-middleware","/middleware","train-data-three.vercel.app","train-data-three.vercel.app","dpl_GuaqXsVpzwT677AvAAS3KFttDXSd",-1,"sfo1",-1,-1,"","prj_UfszjwayvL7tjgoovVcF0mC2178i","","","01KBGF2YHKTSNBTBJGXMKCV355","",-1
"2025-12-02 21:21:53",1764710513203,"train-data-three.vercel.app/api/failed-generations","GET","page=1&limit=25",200,"96q4f-1764710513198-4a7d677ef6e0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","main","","edge-middleware","/middleware","train-data-three.vercel.app","train-data-three.vercel.app","dpl_GuaqXsVpzwT677AvAAS3KFttDXSd",-1,"sfo1",-1,-1,"","prj_UfszjwayvL7tjgoovVcF0mC2178i","","","01KBGF2YHKTSNBTBJGXMKCV355","qtQQ3YuBPJDM",-1
"2025-12-02 21:21:52",1764710512842,"train-data-three.vercel.app/conversations/failed","GET","",-1,"rvd8t-1764710512747-5e1fdeaa905e","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","main","","edge-middleware","/middleware","train-data-three.vercel.app","train-data-three.vercel.app","dpl_GuaqXsVpzwT677AvAAS3KFttDXSd",-1,"sfo1",-1,-1,"","prj_UfszjwayvL7tjgoovVcF0mC2178i","","","01KBGF2Y3PGQTZPA3DD6GXR1J7","",-1
"2025-12-02 21:21:52",1764710512758,"train-data-three.vercel.app/conversations/failed","GET","",200,"rvd8t-1764710512747-5e1fdeaa905e","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","main","","edge-middleware","/middleware","train-data-three.vercel.app","train-data-three.vercel.app","dpl_GuaqXsVpzwT677AvAAS3KFttDXSd",-1,"sfo1",-1,-1,"","prj_UfszjwayvL7tjgoovVcF0mC2178i","","","01KBGF2Y3PGQTZPA3DD6GXR1J7","qtQQ3YuBPJDM",-1
"2025-12-02 21:19:35",1764710375175,"train-data-three.vercel.app/api/conversations/1e1e3991-e846-4ade-b69a-d225d56dc420/download/raw","GET","",-1,"vj422-1764710374607-1d5018e321e8","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","main","","lambda","/api/conversations/[id]/download/raw","train-data-three.vercel.app","train-data-three.vercel.app","dpl_GuaqXsVpzwT677AvAAS3KFttDXSd",-1,"iad1",-1,-1,"[getPresignedDownloadUrl] ✅ Generated signed URL (expires in 1 hour)","prj_UfszjwayvL7tjgoovVcF0mC2178i","","","01KBGEYQA69JHJMMESFFSVSYFW","",-1
"2025-12-02 21:19:35",1764710375031,"train-data-three.vercel.app/api/conversations/1e1e3991-e846-4ade-b69a-d225d56dc420/download/raw","GET","",-1,"vj422-1764710374607-1d5018e321e8","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","main","","lambda","/api/conversations/[id]/download/raw","train-data-three.vercel.app","train-data-three.vercel.app","dpl_GuaqXsVpzwT677AvAAS3KFttDXSd",-1,"iad1",-1,-1,"[getPresignedDownloadUrl] Generating signed URL for path: raw/00000000-0000-0000-0000-000000000000/1e1e3991-e846-4ade-b69a-d225d56dc420.json","prj_UfszjwayvL7tjgoovVcF0mC2178i","","","01KBGEYQA69JHJMMESFFSVSYFW","",-1
"2025-12-02 21:19:34",1764710374726,"train-data-three.vercel.app/api/conversations/1e1e3991-e846-4ade-b69a-d225d56dc420/download/raw","GET","",200,"vj422-1764710374607-1d5018e321e8","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","main","","lambda","/api/conversations/[id]/download/raw","train-data-three.vercel.app","train-data-three.vercel.app","dpl_GuaqXsVpzwT677AvAAS3KFttDXSd",435,"iad1",133,2048,"","prj_UfszjwayvL7tjgoovVcF0mC2178i","","","01KBGEYQA69JHJMMESFFSVSYFW","6oRf7mY3Ex7H",1
"2025-12-02 21:19:34",1764710374688,"train-data-three.vercel.app/api/conversations/1e1e3991-e846-4ade-b69a-d225d56dc420/download/raw","GET","",-1,"vj422-1764710374607-1d5018e321e8","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","main","","edge-middleware","/middleware","train-data-three.vercel.app","train-data-three.vercel.app","dpl_GuaqXsVpzwT677AvAAS3KFttDXSd",-1,"sfo1",-1,-1,"","prj_UfszjwayvL7tjgoovVcF0mC2178i","","","01KBGEYQ6XWX79MRBZF3WW90PJ","",-1
"2025-12-02 21:19:34",1764710374621,"train-data-three.vercel.app/api/conversations/1e1e3991-e846-4ade-b69a-d225d56dc420/download/raw","GET","",200,"vj422-1764710374607-1d5018e321e8","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","main","","edge-middleware","/middleware","train-data-three.vercel.app","train-data-three.vercel.app","dpl_GuaqXsVpzwT677AvAAS3KFttDXSd",-1,"sfo1",-1,-1,"[conversations] /raw status=200","prj_UfszjwayvL7tjgoovVcF0mC2178i","","","01KBGEYQ6XWX79MRBZF3WW90PJ","BVxcqtYM6b2g",-1
