"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId","concurrency"
"2025-11-29 18:20:36",1764440436819,"train-data-three.vercel.app/api/conversations/1a86807b-f74e-44bf-9782-7f1c27814fbd/download/raw","GET","",-1,"5c4fw-1764440435937-20f89b23240c","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","main","","lambda","/api/conversations/[id]/download/raw","train-data-three.vercel.app","train-data-three.vercel.app","dpl_HYNhpV3Cz7ivMHKjHSHtdC3YzV5a",-1,"iad1",-1,-1,"[getPresignedDownloadUrl] ✅ Generated signed URL (expires in 1 hour)","prj_UfszjwayvL7tjgoovVcF0mC2178i","","","01KB8DGVKZE223J2TG63EHDCBT","",-1
"2025-11-29 18:20:36",1764440436685,"train-data-three.vercel.app/api/conversations/1a86807b-f74e-44bf-9782-7f1c27814fbd/download/raw","GET","",-1,"5c4fw-1764440435937-20f89b23240c","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","main","","lambda","/api/conversations/[id]/download/raw","train-data-three.vercel.app","train-data-three.vercel.app","dpl_HYNhpV3Cz7ivMHKjHSHtdC3YzV5a",-1,"iad1",-1,-1,"[getPresignedDownloadUrl] Generating signed URL for path: raw/00000000-0000-0000-0000-000000000000/1a86807b-f74e-44bf-9782-7f1c27814fbd.json","prj_UfszjwayvL7tjgoovVcF0mC2178i","","","01KB8DGVKZE223J2TG63EHDCBT","",-1
"2025-11-29 18:20:36",1764440436351,"train-data-three.vercel.app/api/conversations/1a86807b-f74e-44bf-9782-7f1c27814fbd/download/raw","GET","",200,"5c4fw-1764440435937-20f89b23240c","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","main","","lambda","/api/conversations/[id]/download/raw","train-data-three.vercel.app","train-data-three.vercel.app","dpl_HYNhpV3Cz7ivMHKjHSHtdC3YzV5a",466,"iad1",135,2048,"","prj_UfszjwayvL7tjgoovVcF0mC2178i","","","01KB8DGVKZE223J2TG63EHDCBT","snkKKiJ5c8AA",1
"2025-11-29 18:20:36",1764440436147,"train-data-three.vercel.app/api/conversations/1a86807b-f74e-44bf-9782-7f1c27814fbd/download/raw","GET","",-1,"5c4fw-1764440435937-20f89b23240c","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","main","","edge-middleware","/middleware","train-data-three.vercel.app","train-data-three.vercel.app","dpl_HYNhpV3Cz7ivMHKjHSHtdC3YzV5a",-1,"sfo1",-1,-1,"","prj_UfszjwayvL7tjgoovVcF0mC2178i","","","01KB8DGV82V7MYGXKTGSE3QWAC","",-1
"2025-11-29 18:20:35",1764440435970,"train-data-three.vercel.app/api/conversations/1a86807b-f74e-44bf-9782-7f1c27814fbd/download/raw","GET","",200,"5c4fw-1764440435937-20f89b23240c","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","main","","edge-middleware","/middleware","train-data-three.vercel.app","train-data-three.vercel.app","dpl_HYNhpV3Cz7ivMHKjHSHtdC3YzV5a",-1,"sfo1",-1,-1,"[conversations] /raw status=200","prj_UfszjwayvL7tjgoovVcF0mC2178i","","","01KB8DGV82V7MYGXKTGSE3QWAC","dUdjTFvGptge",-1
"2025-11-29 18:10:39",1764439839708,"train-data-three.vercel.app/api/conversations/1a86807b-f74e-44bf-9782-7f1c27814fbd/download/enriched","GET","",-1,"zfrtr-1764439839113-ddf3429dbf36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","main","","lambda","/api/conversations/[id]/download/enriched","train-data-three.vercel.app","train-data-three.vercel.app","dpl_HYNhpV3Cz7ivMHKjHSHtdC3YzV5a",-1,"iad1",-1,-1,"[getPresignedDownloadUrl] ✅ Generated signed URL (expires in 1 hour)","prj_UfszjwayvL7tjgoovVcF0mC2178i","","","01KB8CYMK53N5EZHN4PGT13Z6K","",-1
"2025-11-29 18:10:39",1764439839562,"train-data-three.vercel.app/api/conversations/1a86807b-f74e-44bf-9782-7f1c27814fbd/download/enriched","GET","",-1,"zfrtr-1764439839113-ddf3429dbf36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","main","","lambda","/api/conversations/[id]/download/enriched","train-data-three.vercel.app","train-data-three.vercel.app","dpl_HYNhpV3Cz7ivMHKjHSHtdC3YzV5a",-1,"iad1",-1,-1,"[getPresignedDownloadUrl] Generating signed URL for path: 00000000-0000-0000-0000-000000000000/1a86807b-f74e-44bf-9782-7f1c27814fbd/enriched.json","prj_UfszjwayvL7tjgoovVcF0mC2178i","","","01KB8CYMK53N5EZHN4PGT13Z6K","",-1
"2025-11-29 18:10:39",1764439839333,"train-data-three.vercel.app/api/conversations/1a86807b-f74e-44bf-9782-7f1c27814fbd/download/enriched","GET","",200,"zfrtr-1764439839113-ddf3429dbf36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","main","","lambda","/api/conversations/[id]/download/enriched","train-data-three.vercel.app","train-data-three.vercel.app","dpl_HYNhpV3Cz7ivMHKjHSHtdC3YzV5a",369,"iad1",135,2048,"","prj_UfszjwayvL7tjgoovVcF0mC2178i","","","01KB8CYMK53N5EZHN4PGT13Z6K","snkKKiJ5c8AA",1
"2025-11-29 18:10:39",1764439839185,"train-data-three.vercel.app/api/conversations/1a86807b-f74e-44bf-9782-7f1c27814fbd/download/enriched","GET","",-1,"zfrtr-1764439839113-ddf3429dbf36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","main","","edge-middleware","/middleware","train-data-three.vercel.app","train-data-three.vercel.app","dpl_HYNhpV3Cz7ivMHKjHSHtdC3YzV5a",-1,"sfo1",-1,-1,"","prj_UfszjwayvL7tjgoovVcF0mC2178i","","","01KB8CYMCJBY1BXBQ2WC6XHC98","",-1
"2025-11-29 18:10:39",1764439839122,"train-data-three.vercel.app/api/conversations/1a86807b-f74e-44bf-9782-7f1c27814fbd/download/enriched","GET","",200,"zfrtr-1764439839113-ddf3429dbf36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","main","","edge-middleware","/middleware","train-data-three.vercel.app","train-data-three.vercel.app","dpl_HYNhpV3Cz7ivMHKjHSHtdC3YzV5a",-1,"sfo1",-1,-1,"[conversations] /enriched status=200","prj_UfszjwayvL7tjgoovVcF0mC2178i","","","01KB8CYMCJBY1BXBQ2WC6XHC98","UyPMOmlhcFFt",-1
