id,document_id,status,progress_percentage,current_step,total_chunks_extracted,error_message,created_at,started_at,completed_at,created_by
301a88dc-b131-4691-8cc7-bb32715aa8b9,550e8400-e29b-41d4-a716-446655440012,generating_dimensions,100,Generating AI dimensions for chunks,15,,2025-10-08 18:56:47.201499+00,2025-10-08 18:56:47.289+00,2025-10-08 18:57:08.552+00,
38cc8a04-8c16-4850-87db-462c96f553c9,e83f1705-34d0-4adc-a187-af02b4e5f34a,completed,100,Dimension generation complete,21,,2025-10-11 23:09:38.180738+00,2025-10-11 23:09:38.234+00,2025-10-11 23:14:03.853+00,
3ad580a6-40ca-4a4c-b8fb-f0456732bf30,5472e3b5-29c3-43b1-80ff-37aa77041441,completed,100,Dimension generation complete,27,,2025-10-11 18:42:08.010577+00,2025-10-11 18:42:08.067+00,2025-10-11 18:47:03.486+00,
410c3037-eca3-4942-8c80-0b06c063abdd,550e8400-e29b-41d4-a716-446655440024,completed,100,Dimension generation complete,1,,2025-10-08 17:50:18.578864+00,2025-10-08 17:50:18.683+00,2025-10-08 17:51:12.148+00,
4ca11ed9-f5b8-497d-b05f-9b6e73ba5914,abd3063f-9cec-475d-a363-0b4e19ac9aa1,completed,100,Dimension generation complete,26,,2025-10-10 08:39:04.964619+00,2025-10-10 08:39:05.022+00,2025-10-10 08:44:03.018+00,
5e75f141-66c0-41af-9498-77c462de2801,3bf4634b-7124-4408-8d2d-d6720dc961de,completed,100,Dimension generation complete,25,,2025-10-11 20:20:42.760551+00,2025-10-11 20:20:42.813+00,2025-10-11 20:25:20.02+00,
db3eb7ca-bef6-4a2e-831f-ac1de8bae397,96543b40-9c94-4944-b405-7d7d055801ce,generating_dimensions,100,Generating AI dimensions for chunks,23,,2025-10-11 03:16:04.138987+00,2025-10-11 03:16:04.18+00,2025-10-11 03:17:00.111+00,
f7f3127e-388c-4e45-84e1-64964e29ddae,0fbf44f1-9348-4725-84c0-1cf796578645,completed,100,Dimension generation complete,24,,2025-10-10 19:57:57.687003+00,2025-10-10 19:57:57.738+00,2025-10-10 20:02:23.47+00,
